,FirstImprovementSearch,FirstChangeSearch,BestImprovementSearch,DeepSearch
501,13510,35644,15017,16233
502,13510,35644,15017,16233
503,13510,35644,15017,16233
504,13510,35644,15017,16233
505,13510,35644,15017,16233
506,13510,35644,15017,16233
507,13510,35644,15017,16233
508,13510,35644,15017,16233
509,13510,35644,15017,16233
510,13510,35644,15017,16233
511,13510,35644,15017,16233
512,13510,35644,15017,16233
513,13510,35644,15017,16233
514,13510,35644,15017,16233
515,13510,35644,15017,16233
516,13510,35644,15017,16233
517,13510,35644,15017,16227
518,13510,35644,15017,16227
519,13510,35644,15017,16227
520,13510,35644,15017,16227
521,13510,35644,15017,16227
522,13510,35644,15017,16227
523,13510,35644,15017,16227
524,13510,35644,15017,16227
525,13510,35644,15017,16227
526,13510,35644,15017,16227
527,13510,35644,15017,16227
528,13510,35644,15017,16227
529,13510,35644,15017,16227
530,13510,35644,15017,16227
531,13510,35644,15017,16227
532,13510,35644,15017,16227
533,13510,35644,15017,16227
534,13510,35644,15017,16227
535,13510,35644,15017,16227
536,13510,35644,15017,16227
537,13510,35644,15017,16227
538,13510,35644,15017,16227
539,13510,35644,15017,16227
540,13510,35644,15017,16227
541,13510,35644,15017,16227
542,13510,35644,15017,16227
543,13510,35644,15017,16227
544,13510,35603,15017,16227
545,13510,35603,15017,16227
546,13510,35603,15017,16227
547,13510,35603,15017,16227
548,13510,35603,15017,16227
549,13510,35603,15017,16227
550,13510,35603,15017,16227
551,13510,35603,15017,16227
552,13510,35603,15017,16227
553,13510,35603,15017,16227
554,13510,35603,15017,16227
555,13510,35603,15017,16227
556,13510,35603,15017,16227
557,13510,35603,15017,16227
558,13510,35603,15017,16227
559,13510,35603,15017,16227
560,13510,35603,15017,16227
561,13510,35603,15017,16227
562,13510,35603,15017,16227
563,13510,35603,15017,16227
564,13510,35603,15017,16227
565,13510,35603,15017,16227
566,13510,35603,15017,16227
567,13510,35603,15017,16227
568,13510,35603,15017,16227
569,13510,35603,15017,16227
570,13510,35603,15017,16227
571,13510,35467,15017,16227
572,13510,35467,15017,16227
573,13510,35467,15017,16227
574,13510,35467,15017,16227
575,13510,35467,15017,16227
576,13510,35467,15004,16227
577,13510,35467,15004,16227
578,13510,35467,15004,16227
579,13510,35467,15004,16227
580,13510,35467,15004,16227
581,13510,35467,15004,16227
582,13510,35467,15004,16227
583,13510,35467,14974,16227
584,13510,35467,14964,16226
585,13510,35467,14964,16226
586,13510,35467,14964,16226
587,13510,35467,14964,16226
588,13510,35467,14928,16226
589,13510,35467,14928,16224
590,13510,35467,14927,16224
591,13510,35467,14927,16224
592,13510,35467,14927,16224
593,13510,35467,14927,16224
594,13510,35467,14927,16224
595,13510,35467,14927,16224
596,13510,35467,14893,16224
597,13510,35467,14893,16224
598,13510,35467,14893,16224
599,13510,35467,14893,16224
600,13510,35467,14887,16224
601,13510,35467,14887,16224
602,13510,35467,14887,16224
603,13510,35467,14887,16224
604,13510,35467,14887,16224
605,13510,35467,14887,16224
606,13510,35467,14887,16224
607,13510,35467,14887,16224
608,13510,35467,14887,16224
609,13510,35467,14887,16224
610,13510,35467,14887,16224
611,13510,35467,14887,16224
612,13510,35467,14887,16224
613,13510,35467,14886,16224
614,13510,35467,14886,16224
615,13510,35467,14886,16224
616,13510,35467,14886,16224
617,13510,35467,14886,16224
618,13510,35467,14886,16224
619,13510,35467,14886,16224
620,13510,35467,14886,16224
621,13510,35467,14886,16212
622,13510,35467,14886,16212
623,13510,35467,14886,16212
624,13510,35467,14886,16212
625,13510,35467,14886,16212
626,13510,35467,14886,16212
627,13510,35467,14886,16212
628,13510,35467,14886,16212
629,13510,35467,14886,16212
630,13510,35467,14886,16212
631,13510,35467,14886,16212
632,13510,35467,14886,16212
633,13510,35467,14886,16212
634,13510,35467,14886,16212
635,13510,35467,14886,16212
636,13510,35467,14886,16212
637,13510,35467,14886,16212
638,13510,35467,14886,16212
639,13510,35467,14886,16212
640,13510,35467,14886,16204
641,13510,35467,14856,16204
642,13510,35467,14856,16204
643,13510,35467,14856,16204
644,13510,35467,14829,16204
645,13510,35339,14829,16204
646,13510,35339,14829,16204
647,13510,35339,14829,16204
648,13510,35339,14829,16204
649,13510,35339,14829,16204
650,13510,35339,14829,16204
651,13510,35339,14829,16204
652,13510,35339,14829,16204
653,13510,35339,14829,16204
654,13510,35339,14829,16204
655,13510,35339,14829,16204
656,13510,35339,14829,16204
657,13510,35339,14829,16204
658,13510,35339,14829,16204
659,13510,35339,14829,16204
660,13510,35339,14829,16204
661,13510,35339,14829,16204
662,13510,35339,14829,16204
663,13510,35339,14829,16204
664,13510,35339,14829,16204
665,13510,35339,14829,16204
666,13510,35339,14829,16204
667,13510,35339,14829,16204
668,13510,35339,14829,16204
669,13510,35339,14829,16204
670,13510,35339,14829,16204
671,13510,35339,14829,16204
672,13510,35339,14829,16204
673,13510,35339,14829,16204
674,13510,35339,14829,16204
675,13510,35339,14829,16204
676,13510,35339,14829,16204
677,13510,35339,14829,16204
678,13510,35339,14829,16204
679,13510,35339,14829,16204
680,13510,35339,14829,16204
681,13510,35339,14829,16204
682,13510,35339,14829,16204
683,13510,35339,14829,16204
684,13510,35339,14829,16204
685,13510,35339,14829,16204
686,13510,35339,14829,16204
687,13510,35339,14829,16195
688,13510,35339,14829,16195
689,13510,35339,14829,16195
690,13510,35339,14829,16195
691,13510,35339,14829,16195
692,13510,35339,14829,16195
693,13510,35339,14829,16195
694,13510,35339,14829,16195
695,13510,35339,14829,16195
696,13510,35339,14829,16195
697,13510,35339,14829,16195
698,13510,35339,14829,16195
699,13510,35339,14829,16195
700,13510,35339,14829,16195
701,13510,35339,14829,16195
702,13510,35339,14829,16195
703,13510,35339,14829,16195
704,13510,35322,14829,16195
705,13510,35322,14829,16195
706,13510,35322,14829,16195
707,13510,35322,14829,16195
708,13510,35322,14829,16195
709,13510,35322,14829,16195
710,13510,35322,14829,16183
711,13510,35322,14829,16183
712,13510,35322,14829,16183
713,13510,35322,14829,16183
714,13510,35322,14829,16183
715,13510,35322,14829,16178
716,13510,35322,14829,16178
717,13510,35322,14829,16178
718,13510,35322,14829,16178
719,13510,35322,14829,16178
720,13510,35322,14829,16178
721,13510,35322,14829,16178
722,13510,35322,14829,16178
723,13510,35322,14829,16178
724,13510,35322,14829,16178
725,13510,35322,14829,16178
726,13510,35322,14829,16178
727,13510,35322,14829,16178
728,13510,35322,14829,16178
729,13510,35322,14829,16178
730,13510,35322,14829,16178
731,13510,35322,14829,16178
732,13510,35322,14829,16178
733,13510,35322,14829,16178
734,13510,35322,14829,16178
735,13510,35322,14829,16178
736,13510,35322,14829,16178
737,13510,35322,14829,16178
738,13510,35322,14829,16178
739,13510,35322,14829,16178
740,13510,35322,14829,16178
741,13510,35322,14829,16178
742,13510,35322,14829,16178
743,13510,35322,14829,16178
744,13510,35322,14829,16178
745,13510,35322,14829,16178
746,13510,35322,14829,16178
747,13510,35322,14829,16178
748,13510,35322,14829,16178
749,13510,35322,14829,16178
750,13510,35322,14829,16178
751,13510,35322,14829,16178
752,13510,35322,14829,16178
753,13510,35322,14829,16178
754,13510,35322,14829,16178
755,13510,35322,14829,16109
756,13510,35322,14829,16109
757,13510,35322,14829,16109
758,13510,35322,14829,16109
759,13510,35322,14829,16059
760,13510,35322,14829,16059
761,13510,35322,14829,16059
762,13510,35322,14829,16059
763,13510,35322,14819,16034
764,13510,35322,14819,16034
765,13510,35322,14819,16034
766,13510,35322,14819,16032
767,13510,35322,14663,16032
768,13510,35322,14663,16027
769,13510,35322,14663,16027
770,13510,35322,14631,15999
771,13510,35322,14631,15999
772,13510,35322,14631,15981
773,13510,35322,14624,15981
774,13510,35322,14624,15977
775,13510,35322,14624,15977
776,13510,35322,14621,15959
777,13510,35322,14618,15959
778,13510,35322,14612,15959
779,13510,35322,14601,15959
780,13510,35322,14599,15959
781,13510,35322,14599,15959
782,13510,35322,14599,15959
783,13510,35322,14588,15959
784,13510,35322,14586,15959
785,13510,35322,14586,15955
786,13510,35322,14586,15955
787,13510,35322,14579,15955
788,13510,35322,14579,15955
789,13510,35322,14579,15955
790,13510,35322,14579,15955
791,13510,35322,14576,15955
792,13510,35322,14574,15955
793,13510,35322,14574,15955
794,13510,35322,14571,15955
795,13510,35322,14569,15955
796,13510,35322,14550,15955
797,13510,35191,14550,15955
798,13510,35145,14547,15955
799,13510,35145,14545,15955
800,13510,35145,14530,15955
801,13510,35145,14530,15955
802,13510,35145,14530,15955
803,13510,35145,14530,15955
804,13510,35145,14530,15945
805,13510,35145,14530,15945
806,13510,35145,14530,15945
807,13510,35145,14530,15945
808,13510,35145,14530,15945
809,13510,35145,14530,15945
810,13510,35145,14530,15945
811,13510,35145,14530,15945
812,13510,35145,14530,15941
813,13510,35145,14530,15941
814,13510,35145,14530,15941
815,13510,35145,14530,15941
816,13510,35145,14530,15941
817,13510,35145,14530,15941
818,13510,35145,14530,15935
819,13510,35145,14530,15935
820,13510,35145,14530,15935
821,13510,35145,14530,15935
822,13510,35145,14530,15935
823,13510,35145,14530,15935
824,13510,35145,14530,15935
825,13510,35145,14530,15935
826,13510,34957,14530,15935
827,13510,34767,14530,15935
828,13510,34767,14530,15935
829,13510,34767,14530,15935
830,13510,34767,14530,15935
831,13510,34767,14530,15935
832,13510,34767,14530,15935
833,13510,34767,14530,15935
834,13510,34767,14530,15935
835,13510,34767,14530,15935
836,13510,34767,14530,15935
837,13510,34767,14530,15935
838,13510,34767,14530,15935
839,13510,34767,14530,15935
840,13510,34767,14530,15935
841,13510,34767,14530,15935
842,13510,34767,14530,15935
843,13510,34767,14530,15935
844,13510,34767,14530,15901
845,13510,34767,14530,15889
846,13510,34767,14530,15889
847,13510,34764,14530,15889
848,13510,34764,14530,15889
849,13510,34764,14530,15889
850,13510,34764,14530,15889
851,13510,34764,14530,15889
852,13510,34764,14530,15889
853,13510,34764,14530,15889
854,13510,34764,14530,15889
855,13510,34764,14530,15889
856,13510,34764,14530,15889
857,13510,34764,14530,15889
858,13510,34764,14530,15889
859,13510,34764,14530,15889
860,13510,34764,14530,15889
861,13510,34764,14530,15889
862,13510,34764,14530,15889
863,13510,34764,14530,15889
864,13510,34764,14530,15889
865,13510,34764,14530,15889
866,13510,34764,14530,15889
867,13510,34764,14530,15889
868,13510,34764,14530,15889
869,13510,34764,14530,15889
870,13510,34764,14530,15889
871,13510,34764,14530,15889
872,13510,34764,14530,15889
873,13510,34764,14530,15889
874,13510,34764,14530,15889
875,13510,34764,14530,15889
876,13510,34764,14530,15889
877,13510,34764,14530,15889
878,13510,34764,14530,15889
879,13510,34764,14530,15889
880,13510,34764,14530,15828
881,13510,34764,14530,15828
882,13510,34764,14530,15828
883,13510,34764,14530,15828
884,13510,34764,14530,15828
885,13510,34764,14530,15826
886,13510,34764,14530,15826
887,13510,34764,14530,15826
888,13510,34670,14530,15826
889,13510,34670,14530,15826
890,13510,34670,14530,15826
891,13510,34647,14530,15826
892,13510,34647,14530,15826
893,13510,34647,14530,15826
894,13510,34647,14530,15826
895,13510,34647,14530,15826
896,13510,34647,14530,15826
897,13510,34647,14530,15826
898,13510,34647,14530,15676
899,13510,34647,14530,15676
900,13510,34647,14530,15676
901,13510,34647,14530,15676
902,13510,34647,14530,15676
903,13510,34647,14530,15676
904,13510,34647,14530,15676
905,13510,34647,14530,15676
906,13510,34647,14530,15676
907,13510,34647,14530,15676
908,13510,34647,14530,15676
909,13510,34647,14530,15676
910,13510,34647,14530,15676
911,13510,34647,14530,15676
912,13510,34647,14530,15676
913,13510,34647,14530,15676
914,13510,34647,14530,15676
915,13510,34647,14530,15676
916,13510,34647,14530,15676
917,13510,34647,14530,15676
918,13510,34647,14530,15676
919,13510,34647,14530,15676
920,13510,34647,14530,15676
921,13510,34647,14530,15676
922,13510,34647,14530,15676
923,13510,34647,14530,15676
924,13510,34647,14530,15676
925,13510,34647,14530,15676
926,13510,34647,14530,15676
927,13510,34647,14530,15670
928,13510,34647,14530,15670
929,13510,34647,14530,15670
930,13510,34647,14530,15667
931,13510,34647,14530,15667
932,13510,34647,14530,15667
933,13510,34647,14530,15667
934,13510,34647,14530,15667
935,13510,34647,14530,15667
936,13510,34647,14530,15667
937,13510,34647,14530,15667
938,13510,34647,14530,15667
939,13510,34647,14530,15667
940,13510,34647,14530,15667
941,13510,34647,14530,15667
942,13510,34647,14530,15667
943,13510,34647,14530,15667
944,13510,34647,14530,15667
945,13510,34647,14530,15667
946,13510,34647,14530,15667
947,13510,34647,14530,15667
948,13510,34647,14530,15667
949,13510,34647,14530,15667
950,13510,34647,14530,15667
951,13510,34647,14530,15667
952,13510,34647,14530,15610
953,13510,34647,14530,15610
954,13510,34647,14530,15610
955,13510,34647,14530,15610
956,13510,34647,14526,15606
957,13510,34647,14526,15606
958,13510,34647,14526,15606
959,13510,34647,14526,15606
960,13510,34647,14526,15606
961,13510,34647,14526,15606
962,13510,34647,14526,15606
963,13510,34647,14526,15606
964,13510,34647,14526,15606
965,13510,34647,14526,15606
966,13510,34647,14526,15606
967,13510,34647,14526,15606
968,13510,34647,14526,15606
969,13510,34647,14526,15606
970,13510,34647,14526,15606
971,13510,34647,14526,15606
972,13510,34647,14526,15606
973,13510,34647,14526,15606
974,13510,34647,14526,15606
975,13510,34647,14526,15606
976,13510,34647,14526,15606
977,13510,34647,14526,15606
978,13510,34647,14526,15589
979,13510,34647,14526,15589
980,13510,34647,14526,15589
981,13510,34647,14526,15589
982,13510,34647,14526,15589
983,13510,34647,14526,15589
984,13510,34647,14526,15589
985,13510,34647,14526,15589
986,13510,34647,14526,15589
987,13510,34647,14526,15589
988,13510,34647,14526,15589
989,13510,34647,14526,15589
990,13510,34647,14526,15589
991,13510,34647,14526,15589
992,13510,34647,14526,15589
993,13510,34647,14526,15582
994,13510,34647,14526,15582
995,13510,34647,14526,15582
996,13510,34647,14526,15483
997,13510,34647,14526,15482
998,13510,34647,14526,15482
999,13510,34647,14526,15482
1000,13510,34647,14526,15482